Rank,Movie Name,Release Year,Duration,IMDb Rating
240,The Iron Giant,1999,1h 26m,8.1
241,Rush,2013,2h 3m,8.1
242,The Wizard of Oz,1939,1h 42m,8.1
243,Stand by Me,1986,1h 29m,8.1
244,My Father and My Son,2005,1h 52m,8.2
245,The Battle of Algiers,1966,2h 1m,8.1
246,The Passion of Joan of Arc,1928,1h 54m,8.1
247,The Handmaiden,2016,2h 25m,8.1
248,Network,1976,2h 1m,8.1
249,Miracle in Cell No. 7,2019,2h 12m,8.2
250,Drishyam 2,2021,2h 32m,8.4
